Participant_Id;Alter;Geschlecht;Beruf/Ausbildung/Studium;Haben Sie irgendwelche Seh-Beeinträchtigungen?;Verwenden Sie visuelle Hilfsmittel?;Haben Sie Erfahrung mit RSVP, wenn ja wie häufig pro Woche benutzen Sie RSVP?;Als wie erfahren würden Sie sich im Bezug auf VR bezeichnen?;nRS;nRS_Question 1;nRS_Question 2;nRS_Question 3;nRS_MR;nRS_PR;nRS_TR;nRS_Performance;nRS_Effort;nRS_Frustration;200_Used File;200_Question 1;200_Question 2;200_Question 3;200_MR;200_PR;200_TR;200_Performance;200_Effort;200_Frustration;250_Used File;250_Question 1;250_Question 2;250_Question 3;250_MR;250_PR;250_TR;250_Performance;250_Effort;250_Frustration;300_Used File;300_Question 1;300_Question 2;300_Question 3;300_MR;300_PR;300_TR;300_Performance;300_Effort;300_Frustration;350_Used File;350_Question 1;350_Question 2;350_Question 3;350_MR;350_PR;350_TR;350_Performance;350_Effort;350_Frustration;400_Used File;400_Question 1;400_Question 2;400_Question 3;400_MR;400_PR;400_TR;400_Performance;400_Effort;400_Frustration;450_Used File;450_Question 1;450_Question 2;450_Question 3;450_MR;450_PR;450_TR;450_Performance;450_Effort;450_Frustration;500_Used File;500_Question 1;500_Question 2;500_Question 3;500_MR;500_PR;500_TR;500_Performance;500_Effort;500_Frustration;550_Used File;550_Question 1;550_Question 2;550_Question 3;550_MR;550_PR;550_TR;550_Performance;550_Effort;550_Frustration;600_Used File;600_Question 1;600_Question 2;600_Question 3;600_MR;600_PR;600_TR;600_Performance;600_Effort;600_Frustration
1;23;Männlich;Student;Keine;Keine;Nein;5;32.59;Ja;Nein;Nein;13;1;13;10;10;8;h;Ja;Ja;Ja;17;5;14;3;17;1;c;Ja;Nein;Nein;14;1;8;5;7;1;e;Ja;Ja;Ja;7;1;8;2;6;1;f;Ja;Ja;Ja;8;1;8;1;7;1;a;Ja;Ja;Nein;15;3;10;5;15;5;d;Ja;Nein;Ja;8;1;8;3;10;1;g;Nein;Ja;Ja;18;2;18;5;19;4;i;Nein;Nein;Ja;18;2;16;4;15;3;b;Nein;Nein;Nein;20;1;20;19;20;15
2;23;Männlich;Student;Kurzsichtig;Kontaktlinsen;Nein;2;39.03;Ja;Ja;Ja;8;1;1;4;3;1;g;Ja;Nein;Ja;8;2;8;4;3;1;b;Nein;Nein;Nein;10;2;8;15;4;1;a;Ja;Nein;Ja;10;2;8;3;11;1;e;Ja;Ja;Nein;10;2;10;3;8;1;f;Ja;Ja;Ja;12;2;10;3;11;1;c;Nein;Ja;Nein;19;2;17;14;15;6;i;Ja;Ja;Nein;18;2;18;3;8;1;d;Ja;Nein;Nein;20;2;19;15;13;8;h;Nein;Ja;Nein;18;2;18;10;17;4
3;23;Weiblich;Studentin;Keine;Keine;Nein;1;33.95;Nein;Nein;Ja;10;1;5;10;6;5;h;Ja;Ja;Ja;9;1;10;18;8;7;d;Ja;Ja;Ja;9;1;11;13;13;10;a;Ja;Ja;Ja;15;1;15;8;15;14;g;Ja;Nein;Ja;17;1;18;5;18;18;b;Nein;Ja;Nein;18;1;19;5;18;19;f;Ja;Ja;Ja;18;1;19;17;16;15;c;Ja;Ja;Nein;16;1;18;14;16;17;i;Nein;Nein;Ja;19;1;20;16;15;16;e;Ja;Ja;Ja;20;1;20;13;18;15
4;25;Weiblich;Doktorantin;Kurzsichtig;Brille;Nein;2;46.02;Nein;Ja;Ja;2;1;10;5;3;5;f;Ja;Ja;Ja;4;3;15;1;5;1;g;Ja;Ja;Ja;5;5;16;3;15;10;b;Nein;Ja;Nein;7;3;17;8;5;9;e;Ja;Ja;Nein;3;2;10;3;2;5;i;Ja;Ja;Ja;2;3;10;1;4;1;a;Nein;Nein;Ja;17;5;4;19;10;10;c;Ja;Ja;Nein;19;8;10;18;16;17;d;Ja;Nein;Ja;20;15;18;20;16;18;h;Nein;Ja;Nein;20;10;1;17;13;6
5;19;Weiblich;Studentin;Keine;Keine;Nein;1;36.65;Ja;Ja;Nein;2;1;1;1;1;1;g;Ja;Ja;Ja;16;4;13;5;11;13;d;Ja;Ja;Ja;8;10;4;1;13;9;i;Ja;Ja;Nein;2;5;3;1;6;1;c;Ja;Ja;Nein;3;6;5;8;7;2;e;Ja;Ja;Ja;5;6;3;5;6;7;a;Ja;Ja;Ja;4;11;11;12;9;5;h;Ja;Ja;Ja;5;11;5;15;10;8;b;Nein;Nein;Ja;8;12;10;19;5;12;f;Nein;Ja;Ja;14;8;10;7;14;4
6;50;Männlich;Student;Keine;Keine;Nein;2;29.74;Ja;Ja;Ja;1;2;1;1;1;1;h;Ja;Ja;Ja;1;1;2;2;2;1;g;Ja;Ja;Ja;2;1;2;3;2;1;f;Ja;Ja;Ja;2;2;2;1;2;1;i;Ja;Ja;Ja;3;2;3;3;2;2;b;Ja;Nein;Nein;4;2;3;10;4;5;d;Ja;Nein;Ja;3;3;3;4;3;2;c;Ja;Ja;Nein;5;4;4;5;3;3;a;Ja;Ja;Ja;3;4;5;12;5;12;e;Ja;Ja;Nein;4;6;7;10;4;4
7;36;Männlich;Student;Keine;Keine;Nein;1;28.94;Ja;Nein;Ja;10;3;10;15;10;15;d;Ja;Ja;Ja;11;3;8;11;3;11;a;Nein;Ja;Ja;13;7;8;12;6;12;g;Ja;Nein;Ja;11;4;9;10;5;10;b;Ja;Ja;Ja;13;3;10;12;4;13;c;Ja;Ja;Nein;11;3;9;12;4;13;f;Ja;Nein;Nein;16;3;9;12;2;12;h;Ja;Ja;Ja;15;5;13;13;6;13;e;Nein;Ja;Ja;12;5;10;10;4;9;i;Nein;Nein;Nein;12;5;12;9;3;10
8;19;Weiblich;Studentin;Keine;Keine;bekannt, aber kaum benutzt;1;27.2;Ja;Ja;Ja;3;4;2;1;3;1;b;Nein;Ja;Ja;3;1;1;2;3;5;h;Ja;Ja;Ja;2;1;1;2;1;5;g;Ja;Nein;Ja;6;2;4;3;3;2;e;Ja;Ja;Ja;5;2;4;2;4;2;d;Ja;Nein;Ja;3;1;2;2;2;1;a;Ja;Nein;Ja;5;2;3;5;4;2;i;Ja;Ja;Nein;6;2;4;3;4;1;c;Ja;Ja;Nein;5;4;3;4;4;2;f;Ja;Ja;Ja;7;2;6;3;5;2
9;28;Männlich;Student;Kurzsichtig;Brille;Nein;2;29.25;Ja;Ja;Ja;1;1;1;3;1;1;b;Ja;Ja;Ja;4;1;2;4;3;1;e;Ja;Ja;Ja;1;1;1;1;1;1;f;Ja;Ja;Ja;1;1;3;2;2;1;i;Ja;Ja;Nein;9;1;5;4;4;1;a;Ja;Nein;Ja;7;1;6;7;4;2;d;Ja;Nein;Ja;9;1;8;5;7;4;g;Ja;Ja;Ja;10;1;9;5;11;5;c;Ja;Ja;Nein;17;1;8;12;10;3;h;Ja;Ja;Ja;9;1;13;12;12;3
10;27;Weiblich;Wissenschaftliche Angestellte;Kurzsichtig;Kontaktlinsen;Nein;2;33.71;Ja;Ja;Ja;2;1;2;1;1;1;b;Ja;Ja;Ja;2;1;2;1;2;1;h;Ja;Ja;Ja;3;2;2;2;3;1;a;Ja;Ja;Ja;5;8;2;3;5;2;f;Ja;Ja;Nein;3;4;2;4;5;2;g;Ja;Nein;Nein;16;13;2;17;15;6;e;Ja;Ja;Nein;15;10;2;18;15;8;i;Nein;Ja;Nein;10;9;2;8;9;4;c;Ja;Ja;Ja;15;12;2;10;13;8;d;Ja;Nein;Ja;18;18;2;14;18;14
