Participant ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Alter;23;23;23;25;19;50;36;19;28;27;24;25;26;25;14;17;18;26;28
Geschlecht;Männlich;Männlich;Weiblich;Weiblich;Weiblich;Männlich;Männlich;Weiblich;Männlich;Weiblich;Männlich;Männlich;Weiblich;Weiblich;Männlich;Männlich;Männlich;Männlich;Männlich
Beruf/Ausbildung/Studium;Student;Student;Studentin;Doktorantin;Studentin;Student;Student;Studentin;Student;Wissenschaftliche Angestellte;Student;Student;Studentin;Studentin;Heilerziehungspfleger;Schüler;Schüler;Student;Wissenschaftlicher Mitarbeiter
Haben Sie irgendwelche Seh-Beeinträchtigungen?;Keine;Kurzsichtig;Keine;Kurzsichtig;Keine;Keine;Keine;Keine;Kurzsichtig;Kurzsichtig;Keine;Kurzsichtig;Kurzsichtig;Keine;Kurzsichtig;Kurzsichtig;Keine;Keine;Keine
Verwenden Sie visuelle Hilfsmittel?;Keine;Kontaktlinsen;Keine;Brille;Keine;Keine;Keine;Keine;Brille;Kontaktlinsen;Keine;Brille;Brille;Keine;Keine;Kontaktlinsen;Keine;Keine;Keine
Haben Sie Erfahrung mit RSVP, wenn ja wie häufig pro Woche benutzen Sie RSVP?;Nein;Nein;Nein;Nein;Nein;Nein;Nein;bekannt, aber kaum benutzt;Nein;Nein;Nein;Sehr selten;Nein;Nein;Nein;Nein;Nein;Nein;Geringe Vorerfahrung durch YouTube Shorts etc.
Als wie erfahren würden Sie sich im Bezug auf VR bezeichnen?;5;2;1;2;1;2;1;1;2;2;1;4;2;1;5;1;4;5;5
nRS;32,59;39,03;33,95;46,02;36,65;29,74;28,94;27,2;29,25;33,71;28,75;1:09,61;45,67;23,29;32,4;36,5;46,54;50,28;38,03
nRS_Question 1;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein
nRS_Question 2;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein
nRS_Question 3;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja
nRS_MR;13;8;10;2;2;1;10;3;1;2;3;4;7;3;5;14;10;6;8
nRS_PR;1;1;1;1;1;2;3;4;1;1;1;6;5;1;5;11;7;3;4
nRS_TR;13;1;5;10;1;1;10;2;1;2;2;10;5;1;1;2;1;3;1
nRS_Performance;10;4;10;5;1;1;15;1;3;1;4;10;7;1;2;9;12;4;12
nRS_Effort;10;3;6;3;1;1;10;3;1;1;5;8;7;1;2;1;12;4;5
nRS_Frustration;8;1;5;5;1;1;15;1;1;1;1;7;5;1;1;8;13;6;6
200_Used File;h;g;h;f;g;h;d;b;b;b;f;b;f;i;g;f;b;d;d
200_Question 1;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja
200_Question 2;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein
200_Question 3;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja
200_MR;17;8;9;4;16;1;11;3;4;2;10;3;12;1;1;4;10;3;15
200_PR;5;2;1;3;4;1;3;1;1;1;8;3;9;2;2;3;6;2;8
200_TR;14;8;10;15;13;2;8;1;2;2;12;4;7;2;1;4;5;2;14
200_Performance;3;4;18;1;5;2;11;2;4;1;13;1;14;1;3;8;7;5;14
200_Effort;17;3;8;5;11;2;3;3;3;2;10;5;12;2;1;6;10;3;14
200_Frustration;1;1;7;1;13;1;11;5;1;1;11;1;14;1;1;4;8;3;15
250_Used File;c;b;d;g;d;g;a;h;e;h;a;f;b;e;d;c;d;f;c
250_Question 1;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja
250_Question 2;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja
250_Question 3;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein
250_MR;14;10;9;5;8;2;13;2;1;3;10;6;9;3;2;12;12;3;16
250_PR;1;2;1;5;10;1;7;1;1;2;5;2;6;2;1;10;11;3;8
250_TR;8;8;11;16;4;2;8;1;1;2;15;7;8;2;2;14;10;2;16
250_Performance;5;15;13;3;1;3;12;2;1;2;15;6;8;2;4;11;10;3;14
250_Effort;7;4;13;15;13;2;6;1;1;3;12;4;8;1;1;13;12;4;17
250_Frustration;1;1;10;10;9;1;12;5;1;1;14;3;6;1;1;10;12;2;17
300_Used File;e;a;a;b;i;f;g;g;f;a;g;i;g;h;e;h;c;c;f
300_Question 1;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein
300_Question 2;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja
300_Question 3;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein
300_MR;7;10;15;7;2;2;11;6;1;5;10;3;12;4;3;5;13;12;14
300_PR;1;2;1;3;5;2;4;2;1;8;8;2;7;3;2;12;10;4;8
300_TR;8;8;15;17;3;2;9;4;3;2;13;8;10;4;1;13;12;8;15
300_Performance;2;3;8;8;1;1;10;3;2;3;19;2;13;2;3;7;8;11;9
300_Effort;6;11;15;5;6;2;5;3;2;5;12;5;11;2;2;14;12;7;15
300_Frustration;1;1;14;9;1;1;10;2;1;2;17;1;11;1;1;6;11;7;12
350_Used File;f;e;g;e;c;i;b;e;i;f;d;d;d;c;a;d;h;i;h
350_Question 1;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja
350_Question 2;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja
350_Question 3;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja
350_MR;8;10;17;3;3;3;13;5;9;3;11;5;13;6;5;16;13;5;18
