Participant ID;1;2;3;4;5;6;7
Alter;24;59;25;25;41;57;25
Geschlecht;Männlich;Weiblich;Weiblich;Weiblich;Weiblich;Männlich;Männlich
Beruf/Ausbildung/Studium;Ausbildung;Ux-Designerin;Studentin;Studentin;Wissenschaftliche Mitarbeiterin;Industrie Designer;Student
Haben Sie irgendwelche Seh-Beeinträchtigungen?;Kurzsichtig;Weitsichtig;Kurzsichtig;Keine;Kurzsichtig;Weitsichtig;Kurzsichtig
Verwenden Sie visuelle Hilfsmittel?;Keine;Brille;Brille;Keine;Brille;Lese-Brille;Brille
Haben Sie Erfahrung mit RSVP, wenn ja wie häufig pro Woche benutzen Sie RSVP?;Nein;Nein;Nein;Nein;Nein;Nein;Nein
Als wie erfahren würden Sie sich im Bezug auf VR bezeichnen?;5;2;2;2;1;2;4
Baseline_W_BackgroundColor;W;W;W;W;W;W;W
Baseline_W_Verwendetes Text-File;j;a;c;h;h;h;a
Baseline_W_ReadingSpeed;33,56;32,82;43,61;27,55;35,01;30,9;45,49
Baseline_W_Question;Ja;Nein;Ja;Ja;Ja;Nein;Ja
Baseline_W_MR;5;10;3;2;13;1;6
Baseline_W_PR;6;1;4;4;1;1;3
Baseline_W_TR;2;5;4;1;5;1;4
Baseline_W_Performance;9;2;2;1;4;4;7
Baseline_W_Effort;11;2;4;1;1;1;2
Baseline_W_Frustration;10;3;2;2;1;1;1
Baseline_G_BackgroundColor;G;G;G;G;G;G;G
Baseline_G_Verwendetes Text-File;f;e;i;c;d;l;g
Baseline_G_ReadingSpeed;37,52;41,7;38,92;27;35,73;1.02,74;43,97
Baseline_G_Question;Ja;Ja;Ja;Nein;Ja;Nein;Ja
Baseline_G_MR;8;1;2;3;11;3;3
Baseline_G_PR;5;1;5;2;1;1;6
Baseline_G_TR;4;2;3;1;2;1;3
Baseline_G_Performance;8;1;1;1;8;6;2
Baseline_G_Effort;3;1;3;1;2;2;6
Baseline_G_Frustration;4;1;1;1;1;2;2
Baseline_B_BackgroundColor;B;B;B;B;B;B;B
Baseline_B_Verwendetes Text-File;b;c;h;b;i;g;b
Baseline_B_ReadingSpeed;38,08;57,7;54,94;29,11;34,9;37,9;49,33
Baseline_B_Question;Ja;Nein;Ja;Ja;Ja;Ja;Ja
Baseline_B_MR;5;1;5;3;8;1;3
Baseline_B_PR;3;1;5;3;1;1;8
